Keycode,period,ECHO MOZ | PMTCT_POS,echo_PMTCT_EID_N_Age | 2 - 12 months,echo_PMTCT_EID_N_Age | <= 2 months,ECHO MOZ | PCR<2M_NEG,ECHO MOZ | PCR-2_12M_NEG,"echo_PMTCT_HEI_POS_N_Age_HIVStatus | 2 - 12 months , Positive","echo_PMTCT_HEI_POS_N_Age_HIVStatus | <= 2 months, Positive","echo_PMTCT_HEI_POS_N_Age_HIVStatus_ART | 2 - 12 months , Positive, Receiving ART","echo_PMTCT_HEI_POS_N_Age_HIVStatus_ART | <= 2 months, Positive, Receiving ART"
200499,2022Q1,120,5,219,86,1,1,0,1,0
340078,2022Q1,37,2,36,10,0,0,0,0,0
338288,2022Q1,17,14,38,7,2,0,0,0,0
201696,2022Q1,150,7,174,66,3,0,7,0,7
360175,2022Q1,7,0,13,1,0,0,0,0,0
200527,2022Q1,26,5,33,6,1,1,0,1,0
200605,2022Q1,23,13,15,2,0,0,0,0,0
200574,2022Q1,32,0,82,8,0,0,0,0,0
200535,2022Q1,19,4,20,2,1,0,0,0,0
200462,2022Q1,2,,5,,,,,,
200625,2022Q1,27,3,30,3,1,0,0,0,0
200447,2022Q1,23,2,23,8,2,0,0,0,0
444444,2022Q1,,,,,,,,,
200617,2022Q1,28,4,13,2,,0,0,0,0
200472,2022Q1,7,2,26,5,0,0,0,0,0
200147,2022Q1,9,0,8,4,0,0,0,0,0
200588,2022Q1,22,0,11,0,0,0,0,0,0
201698,2022Q1,42,19,42,15,4,0,0,0,0
200032,2022Q1,9,0,22,2,0,0,0,0,0
200615,2022Q1,46,0,41,10,0,0,0,0,0
200463,2022Q1,30,11,86,20,4,1,2,1,2
200604,2022Q1,12,2,17,3,0,0,0,0,0
200542,2022Q1,11,26,26,10,9,0,0,0,0
200538,2022Q1,23,8,24,6,1,0,0,0,0
200561,2022Q1,17,1,19,2,0,0,0,0,0
321326,2022Q1,20,3,18,0,0,1,0,2,0
200173,2022Q1,14,9,17,0,0,0,0,0,0
200522,2022Q1,41,8,53,19,3,0,1,0,0
200023,2022Q1,54,12,108,46,6,0,2,,1
200536,2022Q1,66,21,94,34,8,2,2,3,2
200497,2022Q1,14,1,18,2,0,0,0,0,0
200152,2022Q1,63,17,110,34,6,,2,,2
200612,2022Q1,58,1,60,19,1,0,0,0,0
200548,2022Q1,13,12,17,7,2,0,1,0,1
200192,2022Q1,118,48,80,28,28,4,1,4,1
200566,2022Q1,15,12,23,4,0,0,0,0,0
201028,2022Q1,24,6,15,2,1,1,1,1,1
338290,2022Q1,9,17,21,,,,,,
200559,2022Q1,26,5,28,2,0,0,0,1,0
200454,2022Q1,21,6,42,16,,,,,
200618,2022Q1,129,4,116,42,,2,2,2,2
201110,2022Q1,14,4,14,5,,,0,,
200525,2022Q1,166,14,221,77,5,0,1,0,1
200165,2022Q1,22,1,28,0,0,0,0,0,0
200459,2022Q1,12,,24,,,,,,
201645,2022Q1,8,2,11,0,0,0,2,0,2
200937,2022Q1,77,14,91,32,5,2,3,1,3
200657,2022Q1,45,18,77,31,9,1,2,1,0
200576,2022Q1,41,2,48,6,0,0,0,0,0
200513,2022Q1,14,0,7,,,0,0,0,0
200552,2022Q1,40,26,73,28,7,0,0,0,0
200530,2022Q1,23,7,6,2,0,0,0,0,0
200586,2022Q1,12,3,13,1,1,0,0,0,0
200532,2022Q1,28,3,36,0,0,0,2,0,2
321330,2022Q1,31,5,25,0,0,0,2,0,2
200500,2022Q1,59,14,73,30,6,2,0,2,0
200475,2022Q1,12,2,28,8,,1,1,,0
200643,2022Q1,33,4,20,0,0,0,4,1,0
200155,2022Q1,57,8,94,37,3,2,2,,1
200490,2022Q1,7,2,12,3,,,,,
201205,2022Q1,13,10,21,4,1,1,,1,
200560,2022Q1,22,9,50,12,2,0,2,1,11
200638,2022Q1,23,2,36,5,1,1,3,1,3
200563,2022Q1,26,2,40,16,1,0,2,0,2
200593,2022Q1,98,2,115,44,0,2,2,2,2
200572,2022Q1,110,7,81,27,3,2,5,2,5
200469,2022Q1,16,0,25,10,0,0,0,0,0
200484,2022Q1,13,4,12,0,0,0,0,0,0
200533,2022Q1,8,0,11,0,0,0,0,0,0
200180,2022Q1,63,5,82,25,1,,4,,2
201657,2022Q1,63,19,129,53,15,1,1,1,1
200613,2022Q1,64,2,98,39,2,0,1,0,0
200590,2022Q1,167,10,167,61,2,6,3,6,3
200452,2022Q1,24,9,37,12,0,1,2,0,0
200501,2022Q1,27,3,36,8,0,0,0,0,0
201658,2022Q1,22,4,16,3,0,2,0,0,0
200195,2022Q1,15,,38,7,,,2,,1
200616,2022Q1,39,2,16,1,0,1,2,0,2
200523,2022Q1,32,11,16,4,3,1,1,0,1
200539,2022Q1,13,4,12,1,0,0,2,0,2
200633,2022Q1,27,7,17,3,2,1,2,1,1
200479,2022Q1,18,2,48,15,,,,,
200556,2022Q1,6,4,9,0,0,1,1,0,1
200163,2022Q1,42,3,38,15,1,0,0,0,0
200157,2022Q1,4,4,12,2,,0,0,0,0
200528,2022Q1,45,26,81,30,13,0,0,0,0
200190,2022Q1,14,3,39,3,,,1,,1
200191,2022Q1,9,2,20,5,0,0,0,0,0
200661,2022Q1,36,6,49,7,2,0,0,0,0
200464,2022Q1,13,6,26,7,2,,,,
200154,2022Q1,16,5,40,,,1,9,,9
200169,2022Q1,8,0,13,0,0,0,0,0,0
200460,2022Q1,108,12,133,28,1,0,0,1,0
200491,2022Q1,45,0,57,9,0,0,0,0,0
200483,2022Q1,21,1,25,12,0,1,0,0,0
200502,2022Q1,17,3,27,0,1,0,2,0,1
200567,2022Q1,7,0,6,0,0,0,0,0,0
200591,2022Q1,186,21,203,81,5,3,2,3,2
200546,2022Q1,22,1,16,0,0,0,0,0,0
200529,2022Q1,12,2,20,0,0,0,0,0,0
200579,2022Q1,16,0,33,0,0,0,0,0,0
321331,2022Q1,17,3,32,6,0,0,0,0,0
200655,2022Q1,39,7,35,8,2,0,0,0,0
200178,2022Q1,31,10,60,9,1,,,,
200451,2022Q1,9,2,16,4,0,0,0,0,0
200599,2022Q1,20,4,8,0,0,1,0,1,0
200531,2022Q1,148,22,210,78,7,6,3,5,3
200580,2022Q1,9,1,16,2,0,0,0,0,0
200524,2022Q1,18,1,19,5,0,0,0,0,0
200592,2022Q1,27,4,10,0,0,0,0,0,0
200600,2022Q1,27,7,30,5,1,0,3,0,3
200549,2022Q1,19,3,11,4,0,0,0,0,0
200521,2022Q1,10,0,18,3,0,0,0,0,0
200481,2022Q1,66,5,89,45,2,,,,
200494,2022Q1,165,24,231,82,10,0,1,1,1
201851,2022Q1,106,4,174,47,0,0,0,0,0
200457,2022Q1,118,8,119,42,3,0,,,
99999,2022Q1,,,,,,,,,
200614,2022Q1,180,7,193,74,2,2,0,2,0
200564,2022Q1,11,3,23,11,2,0,0,0,0
201858,2022Q1,36,3,18,2,,0,1,0,1
200669,2022Q1,25,1,16,1,,0,3,0,3
200557,2022Q1,25,5,51,16,1,0,0,0,0
321333,2022Q1,13,1,8,0,0,0,0,0,0
200629,2022Q1,31,4,48,5,0,0,1,0,1
200601,2022Q1,18,5,37,2,0,0,0,0,0
200517,2022Q1,52,14,84,32,7,1,2,1,2
200667,2022Q1,25,18,52,19,4,4,2,6,2
200456,2022Q1,35,6,73,22,2,,,,
200565,2022Q1,70,34,108,47,15,0,0,0,0
398330,2022Q1,79,18,92,34,9,2,0,2,0
200503,2022Q1,8,0,6,2,0,0,0,0,0
200471,2022Q1,25,16,26,5,2,4,0,2,0
200963,2022Q1,,31,10,3,8,19,2,11,0
200577,2022Q1,96,8,146,57,0,8,5,8,5
200936,2022Q1,70,40,92,43,8,0,2,0,2
200939,2022Q1,31,4,60,8,0,0,0,0,0
200938,2022Q1,95,86,112,81,49,0,0,0,0
200958,2022Q1,,,,,,,,,
200954,2022Q1,,,,,,,,,
200957,2022Q1,2,,,,,,,,
200940,2022Q1,26,1,42,15,1,0,0,0,0
200914,2022Q1,1,,,,,,,,
200648,2022Q1,53,14,70,8,3,0,2,1,1
200941,2022Q1,136,40,96,21,4,6,1,6,0
201869,2022Q1,1,,,,,,,,
200942,2022Q1,65,23,59,20,10,2,0,2,0
200943,2022Q1,121,21,188,73,8,6,4,6,4
201647,2022Q1,0,,,,,,,,
200933,2022Q1,,,,,,,,,
