Keycode,period,"echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Negative, Life-long ART, Already, Positive",echo_TX_TB_D_Specimen_Sent_HIVStatus | Positive,echo_TX_TB_D_Specimen_Return_HIVStatus | Positive,"echo_TX_TB_D_TB_Test_Type | Other, Positive","echo_TX_TB_D_TB_Test_Type | Smear, Positive","echo_TX_TB_D_TB_Test_Type | Xpert, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Female, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Female, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Male, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Male, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Female, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Female, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Male, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Male, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Female, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Male, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Male, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Female, Life-long ART, New, Positive"
200643,2022Q1,40,7,1,0,517,77,4,4,15,7,2,1,197,39,5,3,0,0,0,0,0,0,0,0,4,1,0,1,3,0,0,2,0,2,2,1,2,0,0,0,0
200155,2022Q1,104,4,4,0,1867,153,79,20,83,8,1,2,762,92,35,21,0,0,0,0,0,0,0,0,33,15,14,7,12,2,0,0,2,8,7,7,8,0,0,0,0
200490,2022Q1,8,1,0,0,240,34,3,0,5,1,0,0,115,35,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
201205,2022Q1,10,2,0,0,206,32,1,3,8,2,0,0,81,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
200560,2022Q1,29,3,0,0,668,50,11,3,23,1,4,0,339,38,3,7,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,2,0,0,1,0,0,0,0
200638,2022Q1,58,6,0,0,763,64,6,5,39,6,0,0,232,25,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0
200563,2022Q1,27,2,0,1,799,64,26,8,26,1,1,0,372,32,9,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,5,3,2,0,0,0,0
200593,2022Q1,124,10,1,0,3043,289,59,19,106,10,5,2,1571,192,31,17,0,0,0,0,0,0,0,0,20,4,3,17,0,1,0,2,0,11,5,12,8,0,0,0,0
200572,2022Q1,100,10,4,1,1592,171,42,27,97,7,4,2,582,107,15,12,0,0,0,0,0,0,0,0,4,1,0,3,1,0,0,0,1,5,7,8,7,0,0,0,0
200469,2022Q1,18,3,0,0,410,58,9,1,30,4,3,0,232,50,7,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,3,1,0,0,0,0
200484,2022Q1,12,1,1,0,189,45,3,1,9,1,0,0,83,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200533,2022Q1,46,8,1,0,406,60,14,3,31,11,2,0,187,45,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
200180,2022Q1,44,8,1,5,1055,161,33,15,40,7,6,3,295,68,8,23,0,0,0,0,0,0,0,0,43,2,0,3,40,1,0,3,0,9,5,2,12,0,0,0,0
201657,2022Q1,88,16,1,0,1532,205,19,5,64,12,0,0,569,113,1,3,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
200613,2022Q1,108,10,4,2,2177,182,35,14,96,7,6,1,874,101,22,13,0,0,0,0,0,0,0,0,14,3,1,11,2,1,1,0,0,3,5,6,5,0,0,0,0
200590,2022Q1,178,11,13,1,4065,282,103,32,163,9,6,5,1637,149,61,34,0,0,0,0,0,0,0,0,84,17,2,60,22,3,1,1,4,34,20,30,25,0,0,0,0
200452,2022Q1,27,7,1,1,753,57,10,2,28,2,0,1,377,60,5,2,0,0,0,0,0,0,0,0,9,1,0,3,6,1,1,0,1,1,2,1,1,0,0,0,0
200501,2022Q1,12,3,0,0,338,42,19,8,11,0,0,0,121,21,7,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,3,0,0,0,0,0
201658,2022Q1,20,3,0,0,337,60,4,0,16,2,0,1,145,15,2,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
200195,2022Q1,22,1,1,0,341,50,10,2,14,2,0,1,191,30,3,1,0,0,0,0,0,0,0,0,3,2,0,0,3,1,0,0,1,5,1,1,1,0,0,0,0
200616,2022Q1,17,8,1,0,449,88,9,4,20,2,0,0,128,44,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
200523,2022Q1,22,4,0,0,306,125,4,3,11,3,0,0,146,68,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
200539,2022Q1,20,4,1,0,342,39,5,1,14,0,0,0,173,23,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
200633,2022Q1,20,3,0,0,247,55,6,3,10,3,1,0,63,19,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
200479,2022Q1,20,0,0,0,561,43,1,0,16,1,1,0,250,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0
200556,2022Q1,6,2,0,0,253,25,0,2,17,1,0,0,100,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
200163,2022Q1,27,1,2,2,590,74,21,6,21,2,0,2,193,57,8,7,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,3,1,3,4,0,0,0,0
200157,2022Q1,6,2,0,0,128,18,1,1,4,0,0,0,54,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200528,2022Q1,65,5,4,0,1449,116,75,14,52,4,3,0,637,63,20,11,0,0,0,1,0,0,0,0,7,1,4,2,1,0,0,0,0,0,2,2,1,0,0,0,0
200190,2022Q1,36,2,3,3,570,42,18,7,22,2,6,1,205,17,12,12,0,0,0,0,0,0,0,0,45,0,0,0,45,0,1,2,0,5,2,3,7,0,0,0,0
200191,2022Q1,21,5,1,0,378,36,11,6,20,3,0,0,172,25,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0
200661,2022Q1,22,6,0,0,620,75,7,6,29,1,2,1,211,50,5,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,3,2,2,0,0,0,0,0
200464,2022Q1,27,0,0,0,410,32,4,2,25,1,0,0,188,25,3,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0
200154,2022Q1,22,3,0,0,372,60,6,3,25,7,0,0,117,32,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
200169,2022Q1,6,0,0,1,116,14,5,3,5,0,1,0,65,7,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
200460,2022Q1,122,8,4,0,2977,266,43,10,117,3,0,0,1374,144,26,10,0,0,0,0,0,0,0,0,7,2,1,6,0,0,0,0,0,10,5,18,7,0,0,0,0
200491,2022Q1,39,1,0,0,1024,96,8,7,20,0,0,2,537,73,6,10,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,1,4,4,6,0,0,0,0
200483,2022Q1,46,3,0,0,923,47,12,4,27,2,1,1,497,39,3,2,0,0,0,0,0,0,0,0,4,1,0,2,2,0,0,0,1,2,1,0,0,0,0,0,0
200502,2022Q1,19,5,0,0,433,51,4,0,13,3,0,0,165,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200567,2022Q1,9,1,0,0,215,42,3,4,11,0,1,0,81,18,4,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,2,4,1,0,0,0,0
200591,2022Q1,196,23,11,9,4246,459,143,54,210,23,10,3,1645,279,108,66,0,0,0,0,0,0,0,0,126,19,64,10,52,2,3,2,1,60,18,46,27,0,0,0,0
200546,2022Q1,19,0,1,1,470,42,5,2,22,0,0,1,232,29,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
200529,2022Q1,7,1,0,1,284,15,6,3,4,0,0,0,100,21,4,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
200579,2022Q1,32,5,0,0,420,85,8,2,29,6,0,0,185,54,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0
321331,2022Q1,31,3,3,0,649,36,15,2,29,3,0,1,257,29,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
200655,2022Q1,47,3,2,0,732,66,12,7,47,8,0,2,272,61,5,6,0,0,0,0,0,0,0,0,5,0,0,5,0,1,0,0,2,1,1,0,2,0,0,0,0
200178,2022Q1,45,11,3,3,1057,103,40,8,43,6,6,3,426,69,24,11,0,0,0,0,0,0,0,0,6,0,0,0,6,0,1,2,0,8,4,11,5,0,0,0,0
200451,2022Q1,23,4,0,0,323,39,5,2,21,2,0,0,113,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
200599,2022Q1,10,2,1,0,236,80,9,3,12,3,1,0,97,43,6,6,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
200531,2022Q1,121,14,9,3,2452,235,75,40,98,7,3,3,789,143,28,22,0,0,0,0,0,0,0,0,22,1,1,18,3,2,0,0,0,0,3,6,3,0,0,0,0
200580,2022Q1,18,2,1,0,275,23,16,11,15,1,1,1,114,25,6,7,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,3,1,1,0,0,0,0
200524,2022Q1,17,2,2,0,587,86,4,1,14,1,0,0,257,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200592,2022Q1,16,0,1,0,365,45,10,6,19,3,1,0,159,41,3,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,2,2,3,0,0,0,0
200600,2022Q1,16,4,0,0,411,64,17,9,21,5,1,0,157,47,2,1,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,5,3,2,0,0,0,0,0
200549,2022Q1,15,1,0,0,322,48,3,3,9,3,0,0,136,35,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200521,2022Q1,13,0,0,0,348,42,3,1,16,3,0,0,138,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
200481,2022Q1,40,1,4,1,1870,158,36,4,51,5,8,1,745,88,8,15,0,0,0,0,0,0,0,0,14,1,0,5,9,0,0,1,0,3,1,2,4,0,0,0,0
200494,2022Q1,183,9,0,0,3408,453,45,10,131,14,2,1,1473,258,19,16,0,0,0,0,0,0,0,0,14,3,0,5,9,0,0,0,1,20,5,8,13,0,0,0,0
201851,2022Q1,113,5,1,2,3094,218,29,13,115,2,1,0,1345,139,16,14,0,0,0,0,0,0,0,0,10,3,1,3,6,0,0,1,0,10,7,8,11,0,0,0,0
200457,2022Q1,101,5,1,1,2186,227,59,14,67,6,5,1,874,155,30,14,0,0,0,0,0,0,0,0,11,1,0,7,4,0,1,1,0,12,5,8,7,0,0,0,0
99999,2022Q1,0,0,0,0,1,0,0,0,0,0,0,0,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200614,2022Q1,180,8,7,6,5258,383,134,66,148,12,6,1,3052,318,106,106,0,0,0,0,0,0,0,0,154,64,112,16,26,3,2,1,0,25,24,40,59,0,0,0,0
200564,2022Q1,11,2,0,0,342,70,3,1,9,1,0,0,192,56,1,4,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201858,2022Q1,20,2,0,0,374,56,10,2,12,2,0,0,114,31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
200669,2022Q1,19,4,0,0,306,47,3,0,13,5,0,0,146,17,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
200557,2022Q1,40,3,2,0,650,60,10,3,32,3,1,1,183,44,4,3,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,4,1,1,2,0,0,0,0
321333,2022Q1,13,1,0,0,195,36,3,2,9,2,0,0,122,34,3,4,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0
200629,2022Q1,46,7,1,1,683,85,10,9,65,8,0,5,246,52,3,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,3,0,3,0,0,0,0
200601,2022Q1,35,7,1,0,546,73,6,3,31,5,1,0,156,30,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
200517,2022Q1,65,13,0,1,1439,104,17,2,64,11,0,0,610,61,9,6,0,0,0,0,0,0,0,0,9,1,0,1,8,0,0,0,0,4,0,4,2,0,0,0,0
200667,2022Q1,55,11,1,0,1195,96,16,9,48,12,0,1,531,63,9,26,0,0,0,0,0,0,0,0,17,1,0,1,16,0,0,0,0,3,1,5,3,0,0,0,0
200456,2022Q1,19,1,0,1,595,72,7,2,10,2,0,0,106,61,4,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
200565,2022Q1,40,5,4,1,1356,148,16,7,54,6,1,0,476,81,6,7,0,0,0,0,0,0,0,0,9,6,0,7,2,0,1,1,0,6,1,4,3,0,0,0,0
398330,2022Q1,65,9,3,2,1417,148,47,9,49,7,6,5,482,78,19,11,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,2,4,7,0,0,0,0
200503,2022Q1,13,2,0,0,199,19,2,13,7,1,0,1,87,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0,8,0,0,0,0
200471,2022Q1,44,1,1,0,969,84,8,3,28,1,0,0,496,50,11,2,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,4,1,5,1,0,0,0,0
200963,2022Q1,104,5,6,6,148,23,3,0,93,7,3,2,131,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,3,0,0,0,0
200577,2022Q1,111,17,2,4,1986,198,32,11,108,14,2,1,851,121,20,20,0,0,0,0,0,0,0,0,23,0,0,3,20,0,1,0,0,4,2,3,7,0,0,0,0
200936,2022Q1,100,6,2,0,1857,138,39,7,76,8,3,1,735,106,13,10,0,0,0,0,0,0,0,0,9,1,0,0,9,0,0,0,0,9,0,3,1,0,0,0,0
200939,2022Q1,45,2,1,0,1156,123,30,14,39,5,2,2,417,61,14,12,0,0,0,0,0,0,0,0,33,1,0,8,25,0,0,0,1,3,1,1,0,0,0,0,0
200938,2022Q1,119,7,4,1,3132,178,108,25,108,4,3,2,1288,98,56,25,0,0,0,0,0,0,0,0,84,41,3,13,68,1,0,0,0,10,6,12,17,0,0,0,0
200958,2022Q1,88,1,1,0,154,8,2,2,78,5,1,0,103,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
200954,2022Q1,44,5,0,1,694,83,2,2,44,7,0,2,529,62,6,4,0,0,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
200957,2022Q1,4,0,0,1,226,27,0,1,3,2,1,0,202,32,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200940,2022Q1,50,5,3,0,779,88,25,6,36,3,5,1,379,70,10,6,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,4,0,1,3,0,0,0,0
200914,2022Q1,45,6,4,1,938,32,28,5,40,2,5,0,581,23,27,6,0,0,0,0,0,0,0,0,17,0,0,0,17,2,1,3,0,4,2,3,1,0,0,0,0
200648,2022Q1,69,2,3,2,989,91,18,8,54,7,2,1,366,88,4,13,0,0,0,0,0,0,0,0,21,2,0,4,17,0,0,0,0,4,0,3,3,0,0,0,0
200941,2022Q1,102,20,7,3,1766,320,102,14,91,17,3,0,634,165,25,14,0,0,0,0,0,0,0,0,42,17,0,16,26,4,1,0,0,30,6,13,9,0,0,0,0
201869,2022Q1,44,11,1,0,893,149,25,10,56,13,1,0,431,100,14,6,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
200942,2022Q1,78,12,4,2,1455,188,25,11,61,6,6,3,495,84,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,9,3,0,0,0,0
200943,2022Q1,172,16,8,2,2366,228,99,24,140,15,3,1,821,135,48,29,0,0,0,0,0,0,0,0,42,14,2,11,29,4,0,0,0,14,5,16,11,0,0,0,0
201647,2022Q1,28,4,0,0,996,88,4,1,27,1,0,1,439,73,3,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0
200933,2022Q1,15,1,1,0,680,46,32,15,33,1,1,0,441,38,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0
