Keycode,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,period,ECHO_PREP_CT_15_19_FEMININO,ECHO_PREP_CT_20_24_FEMININO,ECHO_PREP_CT_25_29_FEMININO,ECHO_PREP_CT_30_34_FEMININO,ECHO_PREP_CT_35_39_FEMININO,ECHO_PREP_CT_40_44_FEMININO,ECHO_PREP_CT_45_49_FEMININO,ECHO_PREP_CT_50_FEMININO,ECHO_PREP_CT_MASCULINO_UNKNOWN AGE,ECHO_PREP_CT_15_19_MASCULINO,ECHO_PREP_CT_20_24_MASCULINO,ECHO_PREP_CT_25_29_MASCULINO,ECHO_PREP_CT_30_34_MASCULINO,ECHO_PREP_CT_35_39_MASCULINO,ECHO_PREP_CT_40_44_MASCULINO,ECHO_PREP_CT_45_49_MASCULINO,ECHO_PREP_CT_50_MASCULINO,ECHO_PREP_CT_FEMININO_UNKNOWN AGE,ECHO_PREP_CT_KP_PID(PWID),ECHO_PREP_CT_KP_HSH,ECHO_PREP_CT_KP_TG,ECHO_PREP_CT_KP_MTS(FSW),ECHO_PREP_CT_KP_REC,ECHO_PREP_CT_KP_AHDJ,ECHO_PREP_CT_KP_AR,ECHO_PREP_CT_KP_CLC,ECHO_PREP_CT_KP_HTS,ECHO_PREP_CT_KP_MIL,ECHO_PREP_CT_KP_MIN,ECHO_PREP_CT_KP_SD,ECHO_PREP_CT_KP_Mulheres Gravidas,ECHO_PREP_CT_KP_Mulheres Lactantes,ECHO MOZ | PREP_CT Test Result (Positive),ECHO MOZ | PREP_CT Test Result (Negative),ECHO MOZ | PREP_CT Test Result (Other)
200549,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,2022Q3,0.0,2.0,8.0,4,5.0,3.0,0.0,0.0,,0.0,3.0,4.0,2.0,2.0,2.0,0.0,3.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,28,0.0,0.0,0,10,72
200521,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,2022Q3,0.0,0.0,2.0,0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0,7,3
200936,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,2022Q3,40.0,93.0,54.0,25,13.0,13.0,1.0,2.0,,16.0,28.0,20.0,23.0,8.0,15.0,4.0,0.0,,0.0,32.0,0.0,104.0,0.0,41.0,0.0,36.0,0.0,4.0,0.0,79,26.0,0.0,0,159,12
200524,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,2022Q3,,1.0,,1,2.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,2.0,,,,,,,2.0,5,,,0,0,1
200552,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,2022Q3,4.0,18.0,17.0,12,5.0,6.0,3.0,1.0,,,6.0,5.0,3.0,5.0,2.0,2.0,3.0,,,,,13.0,,4.0,13.0,,,,2.0,58,1.0,1.0,0,11,11
200532,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,2022Q3,0.0,6.0,3.0,1,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,3,0.0,0.0,0,42,4
200536,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,2022Q3,0.0,4.0,12.0,5,7.0,5.0,5.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0.0,0.0,1,39,19
200557,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,2022Q3,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,15,30
200566,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,2022Q3,,1.0,3.0,4,8.0,5.0,1.0,1.0,,,,,,3.0,,2.0,3.0,,,,,11.0,,,,,,,,20,,,0,16,7
200939,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,2022Q3,11.0,46.0,85.0,26,15.0,5.0,2.0,1.0,,,5.0,18.0,30.0,8.0,7.0,1.0,2.0,,,5.0,,135.0,,41.0,,18.0,,,32.0,29,2.0,,0,189,40
200528,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,2022Q3,4.0,33.0,11.0,8,3.0,3.0,0.0,0.0,,2.0,0.0,3.0,6.0,6.0,3.0,1.0,2.0,,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32,0.0,0.0,1,4,56
200563,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,2022Q3,3.0,8.0,5.0,3,8.0,2.0,0.0,0.0,,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0,18,14
200938,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,2022Q3,6.0,24.0,20.0,13,11.0,0.0,0.0,5.0,,0.0,2.0,8.0,11.0,1.0,3.0,2.0,2.0,,0.0,5.0,0.0,39.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,58,0.0,0.0,0,130,87
338288,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,2022Q3,0.0,0.0,4.0,1,0.0,0.0,2.0,1.0,,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,8,0.0,1.0,0,24,2
200500,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,2022Q3,39.0,140.0,100.0,59,16.0,8.0,2.0,2.0,,1.0,0.0,4.0,7.0,3.0,0.0,0.0,2.0,,0.0,0.0,0.0,292.0,0.0,24.0,0.0,0.0,0.0,1.0,5.0,61,0.0,0.0,0,316,50
200937,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,2022Q3,0.0,11.0,6.0,7,7.0,3.0,1.0,1.0,,0.0,7.0,9.0,7.0,5.0,3.0,1.0,1.0,,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,5.0,46,4.0,0.0,0,110,61
200527,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,2022Q3,6.0,16.0,11.0,8,1.0,3.0,3.0,0.0,,3.0,8.0,2.0,5.0,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,1.0,8.0,20,5.0,4.0,0,19,37
200502,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,2022Q3,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0,3,4
200531,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,2022Q3,,1.0,2.0,4,1.0,1.0,,2.0,,,,,1.0,4.0,,,2.0,,,,,1.0,,,1.0,1.0,,,,15,,,0,17,13
398330,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,2022Q3,,,7.0,7,3.0,5.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,4.0,,,,,,,,24,4.0,,0,25,11
200522,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,2022Q3,1.0,1.0,,4,2.0,1.0,,,,,1.0,3.0,2.0,2.0,,1.0,2.0,,,,,,,,,,,,,19,1.0,,0,7,4
201696,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,2022Q3,3.0,28.0,16.0,15,5.0,4.0,4.0,0.0,,9.0,14.0,14.0,10.0,4.0,4.0,1.0,6.0,,0.0,15.0,0.0,22.0,0.0,10.0,0.0,3.0,0.0,3.0,1.0,83,0.0,0.0,0,56,36
200525,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,2022Q3,1.0,3.0,5.0,6,,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,8.0,,,1.0,1.0,,1.0,1.0,9,,,0,8,18
200499,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,2022Q3,0.0,7.0,12.0,11,9.0,9.0,3.0,4.0,,0.0,6.0,7.0,5.0,6.0,10.0,4.0,9.0,,0.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88,0.0,0.0,0,65,104
200517,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,2022Q3,,2.0,,2,1.0,1.0,,2.0,,,1.0,1.0,2.0,,,,,,,,,1.0,,1.0,,,,,,10,,,0,37,17
