Keycode,period,"echo_PrEP_NEW_N_Age_Sex_v2 | 15-19, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 20-24, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 25-29, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 30-34, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 35-39, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 40-44, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 45-49, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 50+, Female","echo_PrEP_NEW_N_Age_Sex_v2 | Unknown Age, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 15-19, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 20-24, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 25-29, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 30-34, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 35-39, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 40-44, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 45-49, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 50+, Male","echo_PrEP_NEW_N_Age_Sex_v2 | Unknown Age, Male",echo_PrEP_NEW_N_KeyPopAbr | PWID,echo_PrEP_NEW_N_KeyPopAbr | MSM,echo_PrEP_NEW_N_KeyPopAbr | TG,echo_PrEP_NEW_N_KeyPopAbr | FSW,echo_PrEP_NEW_N_KeyPopAbr | People in prisons and other enclosed settings,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) AHDJ,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) AR,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) SD,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) HTS,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) CLC,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) MIL,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) MIN,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) Gravida,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) Mullheres Lactantes
200499,2022Q3,3,27,29,12,14,3,2,1,,8,38,59,23,12,8,3,7,,0,89,4,39,0,6,0,109,0,1,1,0,2,1
338288,2022Q3,3,8,7,0,0,1,0,0,,4,7,14,0,0,2,1,1,,0,0,0,1,0,11,0,12,0,3,1,12,1,7
201696,2022Q3,6,23,8,9,3,1,0,2,,8,42,11,13,3,1,0,2,,0,26,0,22,0,28,0,35,0,6,1,6,0,0
200527,2022Q3,6,10,9,4,0,3,1,0,,4,9,6,3,1,0,0,1,,0,0,0,8,0,17,0,16,0,0,0,8,8,0
200522,2022Q3,3,7,8,9,5,6,,,,1,6,6,19,8,3,4,6,,,,,,,2,,67,,20,,2,,
200536,2022Q3,8,17,5,7,0,3,2,0,,0,3,4,4,1,0,1,1,,2,0,1,18,0,2,2,27,0,1,2,1,0,0
200192,2022Q3,21,30,22,7,17,8,2,2,,8,19,11,9,5,2,2,2,,0,10,3,20,4,49,5,38,0,0,3,0,24,11
200566,2022Q3,2,2,6,8,3,1,1,1,,,1,6,5,,2,1,2,,,,,18,,,,9,,1,2,8,,3
200525,2022Q3,8,30,36,22,10,2,3,1,,5,29,21,15,8,6,2,2,,,18,1,50,,18,23,51,,4,6,6,23,
200937,2022Q3,29,31,11,5,7,5,4,1,,10,34,7,8,5,2,2,0,,0,0,0,3,0,59,22,47,0,0,2,8,19,1
200552,2022Q3,,10,4,4,4,1,2,1,,,3,2,,3,4,1,2,,,,,14,,,1,23,2,,,,1,
200532,2022Q3,2,1,2,0,0,0,0,0,,0,4,8,0,0,2,0,0,,0,0,0,5,0,3,0,9,0,2,0,0,0,0
200500,2022Q3,17,91,49,20,11,2,0,0,,1,3,1,3,0,1,0,1,,0,0,0,134,0,52,0,12,0,0,1,1,0,0
200155,2022Q3,42,32,23,13,5,3,1,,,14,20,9,2,5,2,1,2,,1,3,,68,17,53,,19,,3,,,16,1
200563,2022Q3,9,10,12,5,6,2,0,2,,2,4,5,0,1,0,0,0,,0,0,0,27,0,2,9,10,0,0,0,7,0,3
200180,2022Q3,3,23,27,8,2,2,,2,,6,18,22,5,5,1,1,,,,,,47,43,3,,20,1,1,,,6,3
200528,2022Q3,7,24,28,5,9,3,2,1,,0,2,2,3,1,1,1,0,,0,0,0,32,0,0,0,35,21,0,0,1,0,0
200502,2022Q3,1,3,1,0,1,0,0,0,,0,1,0,2,0,1,0,0,,0,0,0,0,0,0,0,8,0,0,0,0,2,0
200531,2022Q3,12,29,5,6,4,8,,,,3,20,12,7,6,5,4,6,,,,,8,,18,18,54,,7,,4,18,
200524,2022Q3,2,6,1,2,,,,,,,,,,2,,,,,,,,7,,,,4,,,,,2,
200549,2022Q3,1,3,5,2,1,0,0,0,,0,1,4,1,0,0,1,1,,0,0,0,7,0,0,0,9,0,2,0,2,0,0
200521,2022Q3,0,3,2,1,2,3,1,0,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,13,0,0,0,0,0,0
200557,2022Q3,10,5,1,2,4,1,3,0,,4,3,3,2,0,0,0,0,,1,0,0,9,0,8,8,6,0,2,0,1,1,2
200517,2022Q3,5,5,5,1,5,2,,,,,3,7,2,3,4,,4,,,4,3,12,,,,23,,,1,1,2,
398330,2022Q3,2,13,9,6,4,2,,1,,3,6,4,4,2,3,1,1,,,,,8,,14,,26,,1,,,11,1
200936,2022Q3,6,29,13,8,5,3,0,1,,0,0,0,2,0,0,0,1,,0,0,0,42,0,2,0,19,0,1,0,0,4,0
200939,2022Q3,2,18,36,11,6,3,1,2,,1,4,20,15,5,5,,,,,6,,62,,,,27,,7,4,23,,
200938,2022Q3,7,19,11,12,8,4,1,2,,5,10,8,4,3,3,0,0,,0,7,2,25,0,4,3,51,0,1,0,0,4,1
